StimmbezirkNr,Kommunalwahlkreis,Landtagswahlkreis,Bundestagswahlkreis,StadtbezirkNr,StadtbezirkName,StadtteilNr,StadtteilName,X,Y,Einwohner,AnteilAusländer,Wahlberechtigte,AnteilFrauen,18bis24Jahre,25bis34Jahre,35bis44Jahre,45bis59Jahre,Ab60Jahre,AnteilWahlberechtigte,Anteil18bis24Jahre,Anteil25bis34Jahre,Anteil35bis44Jahre,Anteil45bis59Jahre,AnteilAb60Jahre,Wahlberechtigte2009,Wahlbeteiligung2009,GueltigeZweitstimmen2009,Zweitstimmen_SPD_2009,Zweitstimmen_CDU_2009,Zweitstimmen_FDP_2009,Zweitstimmen_GRUENE_2009,Zweitstimmen_DIE_LINKE_2009,Zweitstimmen_Sonstige_2009,ZweitstimmenAnteil_SPD_2009,ZweitstimmenAnteil_CDU_2009,ZweitstimmenAnteil_GRUENE_2009,ZweitstimmenAnteil_FDP_2009,ZweitstimmenAnteil_DIE_LINKE_2009,ZweitstimmenAnteil_Sonstige_2009,GueltigeErststimmen2009,Erststimmen_SPD_2009,Erststimmen_CDU_2009,Erststimmen_FDP_2009,Erststimmen_GRUENE_2009,Erststimmen_DIE_LINKE_2009,Erststimmen_Sonstige_2009,ErststimmenAnteil_SPD_2009,ErststimmenAnteil_CDU_2009,ErststimmenAnteil_GRUENE_2009,ErststimmenAnteil_FDP_2009,ErststimmenAnteil_DIE_LINKE_2009,ErststimmenAnteil_Sonstige_2009
10101,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9592331084,50.9314529397,1941,18.4,1582,46.3,182,460,267,320,353,81.50,11.50,29.08,16.88,20.23,22.31,1451,69.5,997,229,244,165,203,87,69,22.97,24.47,20.36,16.55,8.73,6.92,995,326,290,102,198,71,8,32.76,29.15,19.90,10.25,7.14,0.80
10102,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9526392818,50.9295655268,1019,20.5,736,49.9,63,179,130,150,214,72.23,8.56,24.32,17.66,20.38,29.08,757,72.5,542,132,147,84,104,53,22,24.35,27.12,19.19,15.50,9.78,4.06,538,189,171,51,84,39,4,35.13,31.78,15.61,9.48,7.25,0.74
10103,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9512159846,50.9289728864,915,8.6,758,52.1,72,194,132,167,193,82.84,9.50,25.59,17.41,22.03,25.46,754,81.4,612,151,148,96,129,60,28,24.67,24.18,21.08,15.69,9.80,4.58,608,206,176,57,117,43,9,33.88,28.95,19.24,9.38,7.07,1.48
10104,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9453220781,50.9292805174,1434,14.8,1139,50.9,141,439,220,169,170,79.43,12.38,38.54,19.32,14.84,14.93,1121,74.8,831,184,183,149,193,77,45,22.14,22.02,23.23,17.93,9.27,5.42,827,279,224,94,163,63,4,33.74,27.09,19.71,11.37,7.62,0.48
10105,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9472439779,50.9274863951,874,12.4,709,53.7,60,194,127,174,154,81.12,8.46,27.36,17.91,24.54,21.72,698,76.9,534,131,115,64,139,62,23,24.53,21.54,26.03,11.99,11.61,4.31,533,202,136,37,107,50,1,37.90,25.52,20.08,6.94,9.38,0.19
10106,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9507150621,50.9275173628,910,12.6,685,57.7,60,189,142,148,146,75.27,8.76,27.59,20.73,21.61,21.31,683,78.8,537,128,115,69,144,55,26,23.84,21.42,26.82,12.85,10.24,4.84,535,196,136,39,121,40,3,36.64,25.42,22.62,7.29,7.48,0.56
10107,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9538945867,50.9259016245,1958,14.8,1519,58,125,414,267,294,419,77.58,8.23,27.25,17.58,19.35,27.58,1323,73.7,969,223,207,135,269,80,55,23.01,21.36,27.76,13.93,8.26,5.68,967,346,243,83,217,67,11,35.78,25.13,22.44,8.58,6.93,1.14
10108,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9608620996,50.9285698967,1579,15.1,1229,51.8,132,374,206,222,295,77.83,10.74,30.43,16.76,18.06,24.00,1207,70.1,840,212,170,132,213,81,32,25.24,20.24,25.36,15.71,9.64,3.81,840,304,220,67,170,68,11,36.19,26.19,20.24,7.98,8.10,1.31
10109,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9639110134,50.9269893711,2141,23.4,1414,48.9,130,349,282,352,301,66.04,9.19,24.68,19.94,24.89,21.29,1292,74.1,944,227,177,128,246,125,41,24.05,18.75,26.06,13.56,13.24,4.34,945,335,216,83,207,97,7,35.45,22.86,21.90,8.78,10.26,0.74
10110,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9598365088,50.92545315,1599,20.5,1126,51.5,118,282,206,260,260,70.42,10.48,25.04,18.29,23.09,23.09,1124,70.1,781,197,135,92,229,94,34,25.22,17.29,29.32,11.78,12.04,4.35,780,310,148,62,176,80,4,39.74,18.97,22.56,7.95,10.26,0.51
10111,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9584944108,50.923182088,1638,17.8,1214,52.3,77,340,282,270,245,74.11,6.34,28.01,23.23,22.24,20.18,1147,72.1,822,195,161,107,230,95,34,23.72,19.59,27.98,13.02,11.56,4.14,820,311,179,68,188,59,15,37.93,21.83,22.93,8.29,7.20,1.83
10112,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9617256909,50.9229042894,1619,31.9,920,41.3,93,222,174,240,191,56.83,10.11,24.13,18.91,26.09,20.76,796,61.1,484,124,97,60,132,52,19,25.62,20.04,27.27,12.40,10.74,3.93,483,178,100,40,116,44,5,36.85,20.70,24.02,8.28,9.11,1.04
10113,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9648732523,50.9238477047,1115,27,649,59.9,47,66,61,133,342,58.21,7.24,10.17,9.40,20.49,52.70,673,59.3,398,147,63,34,85,49,20,36.93,15.83,21.36,8.54,12.31,5.03,397,188,75,49,46,34,5,47.36,18.89,11.59,12.34,8.56,1.26
10114,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.942511989,50.9325959696,1322,16,1033,51.3,106,354,177,195,201,78.14,10.26,34.27,17.13,18.88,19.46,1022,78.2,794,172,186,134,183,75,44,21.66,23.43,23.05,16.88,9.45,5.54,795,257,214,97,162,57,8,32.33,26.92,20.38,12.20,7.17,1.01
10115,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9413449274,50.935040602,984,19.7,785,46,75,315,132,126,137,79.78,9.55,40.13,16.82,16.05,17.45,765,72.7,554,137,128,95,130,45,19,24.73,23.10,23.47,17.15,8.12,3.43,550,185,151,56,115,37,6,33.64,27.45,20.91,10.18,6.73,1.09
10116,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9452076934,50.9316010149,1184,19.8,878,52.2,86,278,140,169,205,74.16,9.79,31.66,15.95,19.25,23.35,892,75.9,675,165,160,111,164,47,28,24.44,23.70,24.30,16.44,6.96,4.15,673,237,177,80,138,36,5,35.22,26.30,20.51,11.89,5.35,0.74
10117,3,13,94,1,Innenstadt,101,Altstadt/Süd,6.9441936943,50.9347992844,1035,13.6,855,49.7,82,261,131,171,210,82.61,9.59,30.53,15.32,20.00,24.56,820,70.4,574,116,145,103,126,59,25,20.21,25.26,21.95,17.94,10.28,4.36,574,166,171,78,110,47,2,28.92,29.79,19.16,13.59,8.19,0.35
10118,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9496595062,50.9316528793,1043,11.5,854,54.1,105,232,135,191,191,81.88,12.30,27.17,15.81,22.37,22.37,854,75.5,643,148,175,97,145,48,30,23.02,27.22,22.55,15.09,7.47,4.67,642,218,200,50,136,36,2,33.96,31.15,21.18,7.79,5.61,0.31
10119,1,13,94,1,Innenstadt,101,Altstadt/Süd,6.9494488218,50.9343203688,1113,18.1,848,52.5,71,265,153,174,185,76.19,8.37,31.25,18.04,20.52,21.82,817,74.5,607,146,157,110,119,53,22,24.05,25.86,19.60,18.12,8.73,3.62,605,195,187,65,117,37,4,32.23,30.91,19.34,10.74,6.12,0.66
10120,6,13,94,1,Innenstadt,101,Altstadt/Süd,6.9569629262,50.9337016051,2092,18.5,1606,45.7,202,405,215,317,467,76.77,12.58,25.22,13.39,19.74,29.08,1571,70.4,1097,220,283,214,211,98,71,20.05,25.80,19.23,19.51,8.93,6.47,1092,309,357,127,201,86,12,28.30,32.69,18.41,11.63,7.88,1.10
10201,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9639860271,50.921748853,1027,11.6,769,49.3,37,186,163,220,163,74.88,4.81,24.19,21.20,28.61,21.20,769,81.3,623,135,118,83,204,49,34,21.67,18.94,32.74,13.32,7.87,5.46,621,250,122,49,165,29,6,40.26,19.65,26.57,7.89,4.67,0.97
10202,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9677436609,50.9198020832,1227,11.3,919,51.3,60,177,210,283,189,74.90,6.53,19.26,22.85,30.79,20.57,903,82.6,743,154,141,116,221,78,33,20.73,18.98,29.74,15.61,10.50,4.44,741,267,166,72,179,46,11,36.03,22.40,24.16,9.72,6.21,1.48
10203,2,13,94,1,Innenstadt,102,Neustadt/Süd,6.9631554274,50.9201462072,1041,10.7,773,54.6,44,184,191,198,156,74.26,5.69,23.80,24.71,25.61,20.18,713,80.4,571,131,85,76,192,66,21,22.94,14.89,33.63,13.31,11.56,3.68,567,216,109,34,151,43,14,38.10,19.22,26.63,6.00,7.58,2.47
